number,rating,title,guests,release_date,accolades,notes,winner,live
144,,Munch Madness: Little Caesars vs. Papa John's,John Gemberling,2018-03-08,"",The Slice Is Right - CEO Region,Winner: Little Caesars,FALSE
DD,,Munch Madness: California Pizza Kitchen vs. Costco,Marisa Pinson,2018-03-13,"",The Slice Is Right - Class Struggle Region,Winner: Costco,FALSE
145,,Munch Madness: Semifinals Match 1,Carl Tart,2018-03-15,"",The Slice Is Right,Winner: Blaze,FALSE
DD,,Munch Madness: Fat Chance Kitchen Semifinals,Neil Campbell,2018-03-20,"",The Slice Is Right - Sides Showdown,Winner: California Pizza Kitchen,FALSE
146,,Munch Madness: Semifinals Match 2,Michael Daniel Cassady,2018-03-22,"",The Slice Is Right,Winner: Costco,FALSE
DD,,Munch Madness: Fat Chance Kitchen Finals,Tricia McAlpin,2018-03-27,"",The Slice Is Right - Best Slice,"Winner:
Domino's",FALSE
147,,Munch Madness: Finals,Paul Scheer,2018-03-29,"",The Slice Is Right,Winner: Domino's,FALSE
DD,,My Dinner,Wiger,2018-04-03,Dinner Is The Movie,Taco Bell's Nacho Fries and My Dinner With Andre,"",FALSE
148,1.92,Coco's,Alison Rosen,2018-04-05,"","",,FALSE
DD,,Farley Recently,Farley Elliott,2018-04-10,"",LA food scene,"",FALSE
149,3.67,The Pie Hole,Marcy Jarreau,2018-04-12,"",Nick bumps his Taco Bell score to 5 forks.,,FALSE
DD,,Secret Menu,Justin Lee,2018-04-17,"",Jack In The Box Cholula Buttery Jack and Cholula Fries,"",FALSE
150,4.2,The Dopeboys 4/20 Smokestacular,Jon Gabrus,2018-04-19,"","",,FALSE
DD,,Big & Tall,Ross Kimball,2018-04-24,"",Burger King Sourdough King & Spicy Chicken Sandwich,"",FALSE
151,3.5,Farmer Boys,Nick Rutherford,2018-04-26,"","",,FALSE
DD,,Gluten-Free Summer Movie Preview,Punam Patel,2018-05-01,"","","",FALSE
152,3.45,Olive Garden 2 with Joel Kim Booster,NA,2018-05-03,"","",,FALSE
DD,,Greek Bats,Julie Brister,2018-05-08,Dinner is the Movie,The Week Of and Arby's Gyros,"",FALSE
153,4.33,Ruth's Chris Steak House,Andrew Secunda,2018-05-10,Golden Plate Club,"",,FALSE
DD,,Tropical Freeze,Jason Schreier,2018-05-15,"",Donkey Kong Country: Tropical Freeze,"",FALSE
154,4.025,TGI Friday's 2,The Sklar Brothers,2018-05-17,"","",,FALSE
DD,,Ba Da Ba Ba Bah,Jennie Pierson,2018-05-22,"",McDonald's Fresh Beef Quarter Pounders and Mt. McRushmore Draft,"",FALSE
155,4,Denny's Solo Menu,Matt Mira,2018-05-24,Golden Vest Club,on a scale of 1-5 Han Solo vests,,FALSE
DD,4.5,Saved by the Max,Paul Scheer,2018-05-29,Golden Plate Club,Pop Chips Galaxy Puffs,,FALSE
156,4,Taco Bell 4,Gillian Jacobs,2018-05-31,"",removed from the Platinum Plate Club! (and the Golden Plate Club too),,FALSE
DD,,U Talkin' DMB To Me?,NA,2018-06-05,"",Dave Matthews Band,"",FALSE
157,4.33,Gus's World Famous Fried Chicken,Ben Gruber,2018-06-07,Golden Plate Club,"",,FALSE
DD,,Solo,Danny Jelinek,2018-06-12,Dinner is the Movie,Solo: A Star Wars Story,"",FALSE
158,3.25,Quizno's,Haley Joel Osment,2018-06-13,"","",,FALSE
DD,,Tarot Pizza,Ariana Lenarsky,2018-06-19,"","","",FALSE
159,3.42,Firehouse Subs,Mary Sohn,2018-06-21,"","",,FALSE
DD,,TakeOver: Chicago,Mike Carlson,2018-06-26,"","","",FALSE
160,3.72,Norms,Jordan Morris,2018-06-28,"","",,FALSE
DD,,"Cool, Cool Mountain",The Sloppy Boys,2018-07-03,"",a variety of frozen treats,"",FALSE
161,3.75,IHOb,Bug Mane,2018-07-05,"","",,FALSE
DD,,Biggie Feedbag VI,Yusong Liu,2018-07-10,"","","",FALSE
162,3.67,Panda Express 2,Cristela Alonzo,2018-07-12,"","",,FALSE
DD,,The Wonderful World of Soda 2,Julia Prescott,2018-07-17,"","","",FALSE
163,3.17,Mel's Drive-In,Jon Gabrus,2018-07-19,"","",,TRUE
DD,,Mission Impossible,Ben Rodgers,2018-07-24,Dinner is the Movie,Mission: Impossible franchise,"",FALSE
164,2.83,Panera Bread,Bill Oakley,2018-07-26,"","",,FALSE
DD,,"Veni, Vidi, Mitchy","Lindork, Frielbot, Mikeus",2018-07-31,"",snacks from Italy,"",FALSE
165,3.25,Souplantation/Sweet Tomatoes,"Kelly Nugent, Lindsay Katai",2018-08-02,"","",,FALSE
DD,,Sonic The Hedgehog,Jocelyn Richard,2018-08-07,"","","",FALSE
166,2.125,Pink's Hot Dogs,Alana Johnston ðŸ”ª,2018-08-09,"",live from Los Angeles. also with Evan Susser.,,FALSE
DD,,The Evan Susser Summer Ice Cream Invitational Semi Finals,NA,2018-08-14,"","",Winner: Baskin-Robbins,FALSE
167,,The Evan Susser Summer Ice Cream Invitational Finals,Evan Susser,2018-08-16,"","",Winner: Ben & Jerry's,FALSE
DD,,"Lakewood, California",Matt Apodaca,2018-08-21,"",Dunkin' Donuts Donut Fries,"",FALSE
168,3.31,P. F. Chang's,"Jessica McKenna, Zach Reino",2018-08-23,"","",,FALSE
DD,,LIVE from Outside Lands,"Jon Gabrus, Paul Scheer",2018-08-28,"","live in San Francisco, CA","",FALSE
169,2.67,Johnny Rockets,Esther Povitsky,2018-08-30,"","",,FALSE
DD,,Biggie Feedbag VII,Yusong Liu,2018-09-04,"","","",FALSE
170,2.17,Wahoo's Fish Taco,Eliza Skinner,2018-09-06,"",debut of Mitch's Mickey Mouse doll story,,FALSE
DD,,Back to School,Ronnie Adrian,2018-09-11,"",Kids' School Snacks,"",FALSE
171,2.67,Outback Steakhouse 2,Leann Bowen,2018-09-13,"","",,FALSE
DD,,The Snacklog,Adam Gertler,2018-09-18,"","","",FALSE
172,4,Menchie's,Jackie Johnson,2018-09-20,Golden Plate Club,"",,FALSE
BC1,3.25,Zucchini Spice Bread,Lauren McGuire,2018-09-21,The Bread Cast,"",,FALSE
DD,,U Talkin' To Me? RE: DMB (U Talkin' DMB To Me Part 2),NA,2018-09-25,"","","",FALSE
173,5,Benihana,D'Arcy Carden,2018-09-27,Platinum Plate Club,"",,FALSE
BC2,,White Bread,David Phillips,2018-09-28,The Bread Cast,"","",FALSE
DD,,Octdoughberblessed: Take Me To Church,NA,2018-10-02,"","","",FALSE
174,,Octdoughberblessed: In-N-Out vs Chick-Fil-A,Scott Aukerman,2018-10-04,"","","Winner:
In-N-Out",FALSE
BC3,,Buttermilk Biscuits,Jane Becker,2018-10-05,The Bread Cast,"","",FALSE
DD,,Octdoughberblessed: Kosher Pig-Out,Becky Feldman,2018-10-09,"",Kosher Snacks,"",FALSE
175,3.44,Octdoughberblessed: Canter's Deli,"Evan Susser, David Phillips",2018-10-11,"","",,FALSE
DD,,Octdoughberblessed: Meditation,Ryan Stanger,2018-10-16,"","","",FALSE
176,4,Octdoughberblessed: Loving Hut,Raj Desai,2018-10-18,Golden Collection Plate Club,"",,FALSE
DD,,Octdoughberblessed: The Exorcist,Fran Gillespie,2018-10-23,Dinner is the Movie,"","",FALSE
177,4.67,Octdoughberblessed: Cracker Barrel,Betsy Sodaro,2018-10-25,Golden Collection Plate Club,"",,FALSE
DD,2.08,Octdoughberblessed: Sunday Brunch,Lindsay Katai,2018-10-30,"","",,FALSE
178,3.31,Maggiano's Little Italy,Kevin Pollack,2018-11-01,"",also with Jaime Fox,,FALSE
DD,,Biggie Feedbag VIII,"Yusong Liu, Emma Erdbrink",2018-11-06,"","","",FALSE
179,4.75,Top Round Roast Beef,Ike Barinholtz,2018-11-08,Golden Plate Club,"",,FALSE
DD,,McDowell's,Dave Schilling,2018-11-13,Dinner is the Movie,Coming To America,"",FALSE
180,4.33,El Torito,Jack Allison,2018-11-15,Golden Plate Club,"",,FALSE
DD,,Mash-Off 2: The New Batch,Eva Anderson,2018-11-20,"",Thanksgiving,"",FALSE
DD,,Peanut Butter Bonanza,April Mouton,2018-11-27,"","","",FALSE
181,3.94,Dairy Queen,Don't Stop or We'll Die,2018-11-29,"",Michael Cassady & Paul Rust,,FALSE
DD,,Irish Whiskey and American McRibs,Erin McGathy,2018-12-04,"",Nick is late and the show begins without him.,"",FALSE
182,4.5,Rubio's,Mary Holland,2018-12-06,Golden Plate Club,"live in San Diego, CA",,TRUE
DD,,Soup's Up with Joe Hartzler,NA,2018-12-11,"","","",FALSE
183,1.83,Papa John's,Lamar Woods,2018-12-13,"","",,FALSE
BC4,,The Bread Cast Holiday Special,the Doughboys,2018-12-18,The Bread Cast,"","",FALSE
184,5,McDonald's,Sarah Silverman,2018-12-20,Platinum Plate Club,one of the most exciting moments in Doughboys history,,FALSE
DD,,The 2018 Doughboys Christmas Special: Wiger Alone,NA,2018-12-25,"",Home Alone reboot,"",FALSE
DD,,A Very Doughboys Christmas (Platinum Feed),NA,2018-12-27,"",originally released the prior Christmas,"",FALSE
DD,,The Golden Paw Club #1: Flannigan,NA,2019-01-02,"","","",FALSE
DD,,Blue Velvet & Chew Year's Playlist,Jen Zaborowski,2019-01-08,"","","",FALSE
185,4.58,Poquito MÃ¡s,Dan Goor,2019-01-10,Faraway Friends Club,"",,FALSE
DD,,Biggie Feedbag IX,Yusong Liu,2019-01-15,"","","",FALSE
186,2.92,Delta Sky Club,John Hodgman,2019-01-17,"",recorded at LAX,,FALSE
DD,,Bacon Maple Gremlins,Nicole Byer,2019-01-22,"","","",FALSE
187,4.5,The Hat,"Betsy Sodaro, Mano Agapion",2019-01-24,Golden Plate Club,recorded live at the Brea Improv,,TRUE
DD,,"Little Caesar, Big Game",Ryan Meharry,2019-01-29,"",Little Caesar's Pretzel Crust Pizza,"",FALSE
188,4.67,Cheba Hut,Jon Gabrus,2019-01-31,Golden Dank Club,"recorded live in Phoenix, AZ",,TRUE
DD,,"Korn Koffee, Fyre Roasted",Emily Fleming,2019-02-05,Dinner is the Movie,Fyre and Fyre Fraud,"",FALSE
189,2.75,Super Duper Burgers,"Eliza Skinner, Jordan Morris",2019-02-07,"",recorded live at SF Sketchfest,,TRUE
DD,,"Valentine's Day, Actually",Ify Nwadiwe,2019-02-12,Dinner is the Movie,Love Actually,"",FALSE
190,4.08,Smoke's Poutinerie,Alana Johnston ðŸ”ª,2019-02-14,Golden Plate Club,"recorded live in Saskatoon, Saskatchewan",,TRUE
DD,,The Wonderful World of Water,Dave Theune,2019-02-19,"","","",FALSE
191,4.42,Little Caesars,John Ross Bowie,2019-02-21,Golden Plate Club,"",,FALSE
DD,,Biggie Feedbag X,Yusong Liu,2019-02-26,"","","",FALSE
192,2.125,Native Foods,"Tawny Newsome, Alex Kliner",2019-02-28,"","",,FALSE
DD,,Munch Madness: Green Burrito/Red Burrito vs. Poquito Mas,Farley Elliott,2019-03-05,"",Mouth of the Border: Hollywood vs. Heartland region,Winner: Poquito Mas,FALSE
193,,Munch Madness: Chipotle vs. Qdoba,Toni Charline,2019-03-07,"",Mouth of the Border: Fast Casual region,Winner: Qdoba,FALSE
DD,,Fat Chance Kitchen: Chipotle vs. Green Burrito,NA,2019-03-12,"",Mouth of the Border: Loser's Bracket round 1 (guest: Ryan Perez),"Winner:
Chipotle",FALSE
194,,Munch Madness: Poquito MÃ¡s vs. Taco Bell,Mike Hanford,2019-03-14,"",Mouth of the Border: Semifinal round 1,"Winner:
Taco Bell",FALSE
DD,,Fat Chance Kitchen: Poquito MÃ¡s vs. Chipotle,NA,2019-03-19,"",Mouth of the Border: Loser's Bracket round 2 (guest: Jennie Pierson),Winner: Poquito MÃ¡s,FALSE
195,,Munch Madness: Qdoba vs. Del Taco,Matt Apodaca,2019-03-21,"",Mouth of the Border: Semifinal round 2,Winner: Qdoba,FALSE
DD,,Fat Chance Kitchen: Del Taco vs. Poquito MÃ¡s,Mary Sohn,2019-03-26,"",Mouth of the Border: Loser's Bracket final,Winner: Poquito MÃ¡s,FALSE
196,,Munch Madness: Poquito MÃ¡s vs. Qdoba vs. Taco Bell,Nicole Byer,2019-03-28,"",Mouth of the Border: Finale (live episode),Winner: Taco Bell,FALSE
DD,,Biggie Feedbag XI,"Yusong Liu, Emma Erdbrink",2019-04-02,"","","",FALSE
197,3.5,Sizzle Pie,Bill Oakley,2019-04-04,"","live in Portland, Oregon",,TRUE
DD,,R U Talkin' JRPG's to Me?,Zach Reino,2019-04-09,"",Naruto Ramune sodas,"",FALSE
198,4.625,Portillo's,"Jon Gabrus, Christine Nangle",2019-04-11,Golden Plate Club,"recorded live in Chicago, IL",,TRUE
DD,,The Snacklog & The Catlog,Sydney Steinberg,2019-04-16,"","","",FALSE
199,4,Lou Malnati's,"Jon Gabrus, Christine Nangle",2019-04-18,"","recorded live in Chicago, IL",,TRUE
DD,,Game of P'Zones,Griffin Newman,2019-04-23,"","","",FALSE
200,3.83,Chili's Too,Eva Anderson,2019-04-25,"",Episode 200!,,FALSE
DD,,Mitchell-adas,"Agata Monica, Anastasia Vigo",2019-04-30,"",Burger King's Angry Whopper,"",FALSE
201,3.375,AMC Dine-In,"Kevin Pollak, Jaime Fox",2019-05-02,"","",,FALSE
DD,,May-ow: Digby,Libby Watson,2019-05-07,"","","",FALSE
202,4.33,SweetfinÂ PokÃ©Â with Payman Benz,NA,2019-05-09,Golden Plate Club,"",,FALSE
DD,,May-ow: Bug,Jordan Morris,2019-05-14,Dinner Is The Movie,The Aristocats and hybrid mayo flavors,"",FALSE
203,4.75,Waffle House,Carl Tart,2019-05-16,Platinum Plate Club,"live in Huntsville, Alabama. Score updated to 5.0 and put in Platinum Plate Club in ep. 205.",,TRUE
DD,,May-ow: Cat Stevens,Yusong Liu,2019-05-21,"",Doughcats: The Musical,"",FALSE
204,4.33,Hattie B's,Carl Tart,2019-05-23,Golden Plate Club,"live in Nashville, Tennessee",,TRUE
DD,,"May-ow: Pepe, Fiona, and Meryl with Joe Saunders & Rachel Millman",NA,2019-05-28,"",Heathcliff comics,"",FALSE
205,3.08,P. F. Chang's 2,Kulap Vilaysack,2019-05-30,"",Mitch's Lettuce Rap,,FALSE
BC5,,Pumpernickel Bread,Diona Reasonover,2019-05-31,The Bread Cast,"","",FALSE
DD,,or Nothing,Mike Carlson,2019-06-04,"",Star Wars: Galaxy Edge and AEW wrestling,"",FALSE
206,3.06,Fogo de ChÃ£o,"Candice King, Kayla Ewell",2019-06-06,"","",,FALSE
BC6,,Dinner Rolls,the Sloppy Boys,2019-06-07,The Bread Cast,"","",FALSE
DD,,WWE Cook-off and Biggie Feedbag XII,"Yusong Liu, Emma Erdbrink",2019-06-11,"","","",FALSE
207,3.71,Ben & Jerry's,The Sloppy Boys,2019-06-13,"","Jeff Dutton, Mike Hanford, Tim Kalpakis",,FALSE
BC7,,Cornbread,Alana Johnston ðŸ”ª,2019-06-13,The Bread Cast,"(unlike other Bread Cast eps, not put in the Doughboys Double stream)","",FALSE
DD,,Wetzel's Pretzels,"Sean Clements, Hayes Davenport",2019-06-18,"",live from Los Angeles at the Pee Cast Blast 2018,"",TRUE
208,2.1,Al's Beef,"Megan Batoon, Amir Blumenfeld",2019-06-20,"",live from Chicago at Headgum Live,,TRUE
DD,,Beyond Chicago,Fran Gillespie,2019-06-25,"",Carl's Jr. Beyond Famous Star and a Chicago Draft,"",FALSE
209,3.5,Which Wich?,Josh Gondelman,2019-06-27,"","",,FALSE
BC8,,Live at BugCon,"Farley Elliott, Evan Susser",2019-06-27,The Bread Cast,"","",FALSE
DD,,From Sea to Shining McD,Jack Allison,2019-07-02,"",McDonald's Worldwide Favorite Menu and Fourth of July films,"",FALSE
210,1.17,Starbucks Reserve,Jessica Chaffin,2019-07-04,"","",,FALSE
DD,,Quiznos Quiz Show,Mark Rennie,2019-07-09,Dinner Is The Movie,Quiznos sandwiches and Quiz Show,"",FALSE
211,2.8,Papa Gino's,"John Hodgman, Jean Grae, Jeff Tweedy",2019-07-11,"","live from Solid Sound Festival in North Adams, MA",,FALSE
DD,4.13,Friendly's,"John Hodgman, Jean Grae",2019-07-16,"","live from Solid Sound Festival in North Adams, MA",,FALSE
212,3.75,Le Pain Quotidien,Johnny Pemberton,2019-07-18,"","The ""oven fries"" episode",,FALSE
DD,,Shaq's Shaqting Career,Amir Blumenfeld,2019-07-23,Shaq Week / Dinner is the Movie,Kazaam,"",FALSE
213,3.83,Shaquille's,Josh Weiner,2019-07-25,Shaq Week,"",,FALSE
DD,,Biggie Feedbag XIII,"Yusong Liu, Emma Erdbrink",2019-07-30,"",Rainbow Dark chips and Doritos Jacked chips,"",FALSE
214,3.25,Subway 2,R.J. Fried,2019-08-01,"","",,FALSE
DD,,Snack Attack,"Mac, aka Max Mayer",2019-08-06,"","Sour Patch Kid ice cream, Taco Bell chips, a ba-na-na","",FALSE
215,4.125,Del Taco 2,"Kevin Bartelt, Yusong Liu",2019-08-08,"",Del Taco's Beyond Meat menu,,FALSE
DD,,Dough and Cait Plus Eggs,Cait Raft,2019-08-13,"","","",FALSE
216,4.25,Lee's Sandwiches,Ify Nwadiwe,2019-08-15,"","",,FALSE
DD,,Me Talkin' 'Tallica to U? (Me = Wiger),NA,2019-08-20,"",Kill 'Em All and Grill 'Em All,"",FALSE
217,3.67,Burger King 3,Haley Mancini,2019-08-22,"",Burger King's Impossible Burger,,FALSE
DD,,Biggie Feedbag XIV,"Yusong Liu, Emma Erdbrink",2019-08-27,"","","",FALSE
218,4.67,Popeyes Louisiana Kitchen 2,Andrew Ti,2019-08-29,Golden Plate Club,"",,FALSE
DD,,The Snacklog,Adam Chandler,2019-09-03,"","","",FALSE
219,4.875,Ben's Chili Bowl,"Christine Nangle, Carl Tart",2019-09-05,Golden Plate Club,"Feast Coast Tour 2019: live from Washington, DC. Also with guest Stormy Daniels.",,TRUE
DD,,Feast Coast Tour Diary: Comet Ping Pong,NA,2019-09-10,"","Feast Coast Tour 2019: from Washington, DC AirBnB.","",FALSE
220,3.375,CAVA,"Jamelle Bouie, Carl Tart, Libby Watson",2019-09-12,"","Feast Coast Tour 2019: live from Washington, DC.",,TRUE
DD,4.81,Wawa,"Carl Tart, Christine Nangle",2019-09-17,Golden Plate Club,Feast Coast Tour 2019: live from Philadelphia. Also with guest Jon Taffer.,,TRUE
221,3.83,Marie Callender's,Scott Aukerman,2019-09-19,"","",,FALSE
DD,4.575,Xi'an Famous Foods,"Mike Hanford, Paul Rust",2019-09-24,"","Feast Coast Tour 2019: live from New York City.
Also with guest The Soup Nazi.",,TRUE
222,4.19,Rita's Italian Ice,"Carl Tart, Christine Nangle",2019-09-26,Golden Plate Club,Feast Coast Tour 2019: live from Philadelphia.,,TRUE
DD,,Octdoughberfest 2019: The Ate-TL: World of Coca-Cola,NA,2019-10-01,"","","",FALSE
223,3.75,Octdoughberfest 2019: The Ate-TL: The Flying Biscuit Cafe,Steve Agee,2019-10-03,Golden Plate Club,rating adjusted and removed from the Golden Plate Club in #224.,,FALSE
DD,,Octdoughberfest 2019: The Ate-TL: Peaches and Scream,"Jen D'Angelo, Samantha Nisenboim",2019-10-08,"",Peach dishes & Mount Scaremore,"",FALSE
224,1.58,Octdoughberfest 2019: The Ate-TL: Moe's Southwest Grill,Mary Lynn Rajskub,2019-10-10,"","",,FALSE
DD,,Octdoughberfest 2019: The Ate-TL: The Doughboys Went Down To Georgia,NA,2019-10-15,"",Hot Music from Hot-Lanta,"",FALSE
225,4.5,Octdoughberfest 2019: The Ate-TL: The Varsity with Joe Saunders,NA,2019-10-17,Golden Plate Club,"",,FALSE
DD,,Octdoughberfest 2019: The Ate-TL: Deliveryance,NA,2019-10-22,Dinner is the Movie,Halloween cereals and Deliverance,"",FALSE
226,2.75,Octdoughberfest 2019: The Ate-TL: Krystal,Sam Richardson,2019-10-24,"","",,FALSE
DD,,Octdoughberfest 2019: The Ate-TL: Biggie Feedbag XV,"Yusong Liu, Emma Erdbrink",2019-10-29,"","","",FALSE
227,4.69,Octdoughberfest 2019: The Ate-TL: Cook Out,"Jesse Farrar, Mike Hale",2019-10-31,Golden Plate Club,"",,FALSE
DD,,The Twisted World of Pretzels,NA,2019-11-05,"",Burger King's Pretzel Bacon King,"",FALSE
228,2.9,White Castle,"Mike Hanford, Paul Rust, Fran Gillespie",2019-11-07,"",Feast Coast Tour 2019: live from New York City.,,TRUE
DD,,Remember Pepperidge Farm? Doughboys Remembers,NA,2019-11-12,"",Pepperidge Farm snacks,"",FALSE
229,5,Regina Pizzeria,"John Hodgman, Nicole Byer",2019-11-14,Platinum Plate Club,Feast Coast Tour 2019: live from Boston.,,TRUE
DD,,Let's Faygo,"Street Fight Radio, Brett Payne, Bryan Quinby",2019-11-19,"","","",FALSE
230,2.13,99 Restaurant,"Nicole Byer, Dano",2019-11-21,"",Feast Coast Tour 2019: live from Boston.,,TRUE
DD,,Garfield's Thanksgiving,Paul Rust,2019-11-26,Dinner is the Movie,"","",FALSE
DD,,Biggie Feedbag XVI,Emma Erdbrink,2019-12-03,"","","",FALSE
231,2.83,Noah's New York Bagels,Jennie Pierson,2019-12-05,"","",,FALSE
DD,,The 12 Days of Christmas Cookies,Ryan Perez,2019-12-10,"",Mount Rushmores of Christmas Movies,"",FALSE
232,4.5,Ample Hills Creamery,Jason Sheridan,2019-12-12,Creamsmen: The Golden Circle,"",,FALSE
DD,,The Doughboys Christmas Singalong!,NA,2019-12-17,"","","",FALSE
233,3.75,Steak 'n Shake 4,Evan Susser,2019-12-19,"","",,FALSE
DD,,It's A Wigerful Life: A Doughboys Christmas Special,NA,2019-12-24,"","","",FALSE
